loss,accuracy,tn,fp,fn,tp,precision_0,precision_1,recall_0,recall_1,f1_0,f1_1,count_0,count_1,auroc,
0.1296724986388258,0.9696251002944801,685198,51,21414,6,0.9696948254487612,0.10526315789473684,0.9999255744991966,0.00028011204481792715,0.9845782014152274,0.0005587372538063976,685249,21420,0.5001028432720073,
0.1260428674128783,0.9696802887914993,685238,11,21415,5,0.9696951686329783,0.3125,0.9999839474410032,0.00023342670401493932,0.9846066748952154,0.00046650494495241646,685249,21420,0.5001086870725091,
0.12481290752963596,0.9696930245985037,685238,11,21406,14,0.9697075189204182,0.56,0.9999839474410032,0.00065359477124183,0.9846130413760252,0.0013056656563301468,685249,21420,0.5003187711061226,
0.12397439909874605,0.9696887793295023,685225,24,21396,24,0.9697206847801013,0.5,0.9999649762349161,0.0011204481792717086,0.9846106317400332,0.0022358859698155395,685249,21420,0.5005427122070939,
0.12351227126399159,0.9696788737018321,685213,36,21391,29,0.9697270323972126,0.4461538461538462,0.9999474643523741,0.001353874883286648,0.9846054145085724,0.002699557831044915,685249,21420,0.5006506696178304,
0.12301991640758207,0.9696944396881708,685220,29,21387,33,0.969732821780707,0.532258064516129,0.9999576796171903,0.0015406162464985994,0.9846133508064052,0.003072339633181268,685249,21420,0.5007491479318444,
0.12265004237468095,0.9697071754951753,685217,32,21375,45,0.9697491621756261,0.5844155844155844,0.9999533016465547,0.0021008403361344537,0.9846196512388986,0.004186630692654789,685249,21420,0.5010270709913446,
0.12250983952812698,0.9696732133431635,685200,49,21382,38,0.9697388271991079,0.4367816091954023,0.999928493146287,0.0017740429505135387,0.9846022972616646,0.0035337332031431627,685249,21420,0.5008512680484002,
0.12210908964327954,0.9696930245985037,685199,50,21367,53,0.9697593713821497,0.5145631067961165,0.9999270338227418,0.0024743230625583566,0.984612179061154,0.004924963992008549,685249,21420,0.5012006784426501,
0.12196064269812398,0.9696845340605007,685199,50,21373,47,0.9697511364729993,0.4845360824742268,0.9999270338227418,0.0021942110177404295,0.984607934497324,0.004368638750755217,685249,21420,0.5010606224202411,
0.12179314373755769,0.9696760435224978,685191,58,21371,49,0.9697535389675641,0.45794392523364486,0.9999153592343805,0.0022875816993464053,0.9846035129769776,0.004552422539136898,685249,21420,0.5011014704668634,
0.12164994000582371,0.9696746284328307,685186,63,21367,53,0.9697588149792018,0.45689655172413796,0.9999080626166547,0.0024743230625583566,0.9846026949235595,0.004921991084695393,685249,21420,0.5011911928396066,
0.12158917338076275,0.9696746284328307,685180,69,21361,59,0.9697667934344928,0.4609375,0.9998993066753837,0.002754435107376284,0.9846025621681431,0.005476146278076852,685249,21420,0.50132687089138,
0.12125233799281253,0.9696831189708336,685180,69,21355,65,0.9697750288379203,0.48507462686567165,0.9998993066753837,0.003034547152194211,0.9846068068033546,0.006031363088057902,685249,21420,0.501466926913789,
0.12122167961773529,0.969687364239835,685174,75,21346,74,0.9697871256298477,0.4966442953020134,0.9998905507341127,0.0034547152194211016,0.984608796431017,0.0068616996615513,685249,21420,0.5016726329767669,
0.12125115812992736,0.9696859491501679,685158,91,21331,89,0.9698070316735292,0.49444444444444446,0.9998672015573901,0.00415499533146592,0.9846077350765733,0.008240740740740741,685249,21420,0.5020110984444279,
0.12108383599359629,0.9696732133431635,685158,91,21340,80,0.9697946774088533,0.4678362573099415,0.9998672015573901,0.003734827264239029,0.9846013679210375,0.007410495113704785,685249,21420,0.5018010144108146,
0.12117096660134415,0.9697029302261738,685164,85,21325,95,0.9698155243747603,0.5277777777777778,0.9998759574986611,0.004435107376283847,0.9846163573891064,0.008796296296296297,685249,21420,0.5021555324374725,
0.12077051025642935,0.9697071754951753,685172,77,21330,90,0.9698090026638283,0.5389221556886228,0.9998876320870224,0.004201680672268907,0.984618656641885,0.008338351785797008,685249,21420,0.5020446563796456,
0.1208391133316047,0.9696972698675052,685161,88,21326,94,0.9698140234710617,0.5164835164835165,0.9998715795280256,0.004388422035480859,0.984613461173671,0.008702897879825942,685249,21420,0.5021300007817532,
0.12081479898614984,0.969714250943511,685160,89,21313,107,0.9698318265524656,0.5459183673469388,0.9998701202044804,0.004995331465919701,0.9846219288047471,0.009900074019245003,685249,21420,0.5024327258352,
0.12083287982710852,0.9696661378948277,685134,115,21321,99,0.9698197337410026,0.46261682242990654,0.9998321777923062,0.004621848739495798,0.98459729942574,0.009152260330960527,685249,21420,0.502227013265901,
0.12072024270103193,0.9697128358538438,685149,100,21303,117,0.9698450850163918,0.5391705069124424,0.9998540676454836,0.0054621848739495795,0.9846209782129924,0.010814807967832877,685249,21420,0.5026581262597166,
0.12067172386481699,0.969705760405508,685146,103,21305,115,0.9698422112786308,0.5275229357798165,0.9998496896748481,0.005368814192343604,0.9846173744341452,0.010629448192993808,685249,21420,0.5026092519335958,
0.1205917314012221,0.9696859491501679,685138,111,21311,109,0.9698336327180023,0.4954545454545455,0.9998380150864868,0.005088702147525677,0.984607292674129,0.010073937153419595,685249,21420,0.5024633586170062,
0.12072562626121995,0.9696887793295023,685134,115,21305,115,0.9698416990001968,0.5,0.9998321777923062,0.005368814192343604,0.984608619173263,0.010623556581986144,685249,21420,0.5026004959923249,
0.1206149494257551,0.9696859491501679,685139,110,21312,108,0.9698323025942351,0.4954128440366973,0.999839474410032,0.005042016806722689,0.9846073147948552,0.009982438302985489,685249,21420,0.5024407456083774,
0.12066956368990966,0.9696859491501679,685129,120,21302,118,0.9698456041708249,0.4957983193277311,0.9998248811745803,0.005508870214752568,0.9846070935847321,0.010896666358851234,685249,21420,0.5026668756946665,
