loss,accuracy,tn,fp,fn,tp,precision_0,precision_1,recall_0,recall_1,f1_0,f1_1,count_0,count_1,auroc,
0.6547169994842995,0.6256475401722374,18865,11442,11249,19058,0.6264528126452813,0.6248524590163934,0.6224634572870954,0.6288316230573795,0.6244517634597242,0.6268357261499498,30307,30307,0.6256475401722373,
0.6267779528058247,0.652522519549939,19636,10671,10391,19916,0.6539447830286076,0.65112629548501,0.6479031246906656,0.6571419144092124,0.6509099346968542,0.6541202745754918,30307,30307,0.6525225195499389,
0.6140416003533818,0.6632626125977497,19933,10374,10037,20270,0.6650984317650984,0.6614671713875473,0.6577028409278385,0.6688223842676609,0.6613799625064287,0.6651244442256895,30307,30307,0.6632626125977497,
0.6019972967594881,0.6730788266737058,20271,10036,9780,20527,0.6745532594589199,0.6716290940025521,0.6688553799452271,0.6773022734021843,0.671692236323271,0.6744537539017579,30307,30307,0.6730788266737058,
0.5972054766999754,0.6793150097337248,20445,9862,9576,20731,0.681023283701409,0.6776386755140065,0.6745966278417528,0.684033391625697,0.6777947221853865,0.6808210180623973,30307,30307,0.6793150097337249,
0.5976252270479631,0.6779126934371598,20371,9936,9587,20720,0.679985312771213,0.6758872651356994,0.672154947701851,0.6836704391724684,0.6760474570646312,0.6797565736594328,30307,30307,0.6779126934371598,
0.600509141105252,0.6753720262645594,20376,9931,9746,20561,0.6764491069650089,0.6743080152171061,0.6723199260896823,0.6784241264394364,0.6743781958993198,0.6763598085494827,30307,30307,0.6753720262645593,
0.597273960816265,0.680568845481242,20550,9757,9605,20702,0.6814790250373073,0.6796677500902853,0.6780611739862078,0.6830765169762761,0.6797658033144786,0.6813678701905672,30307,30307,0.680568845481242,
0.5874511622905054,0.6891147259708978,20746,9561,9283,21024,0.6908654966865363,0.6873957822461991,0.6845283267891906,0.693701125152605,0.687682312383983,0.6905340603034882,30307,30307,0.6891147259708978,
0.5912696718097767,0.6853862144059129,20631,9676,9394,20913,0.687127393838468,0.6836771388407598,0.6807338238690731,0.6900386049427525,0.6839156666445667,0.6868431424067262,30307,30307,0.6853862144059129,
0.5864165752814423,0.6890487346157653,20765,9542,9306,21001,0.6905324066376243,0.6875879907016338,0.6851552446629492,0.6929422245685816,0.6878333167710093,0.6902547247329499,30307,30307,0.6890487346157654,
0.5905651371863012,0.6875804269640677,20688,9619,9318,20989,0.6894621075784843,0.6857357553580763,0.6826145774903488,0.6925462764377867,0.6860212557823355,0.6891241894443076,30307,30307,0.6875804269640676,
0.586045340709033,0.6893127000362953,20740,9567,9265,21042,0.6912181303116147,0.6874448691561306,0.6843303527237932,0.6942950473487973,0.6877569969491975,0.6908529778711668,30307,30307,0.6893127000362952,
0.581689097648303,0.6921668261457748,20850,9457,9202,21105,0.6937974178091308,0.690563444800733,0.6879598772560794,0.6963737750354704,0.6908663165393727,0.6934564392383644,30307,30307,0.692166826145775,
0.581688305366931,0.6936846273138219,20936,9371,9196,21111,0.6948095048453471,0.6925726658355751,0.690797505526776,0.6965717491008678,0.6927976968513708,0.694566451167152,30307,30307,0.6936846273138219,
0.5762139328610056,0.6974956280727225,21037,9270,9066,21241,0.6988340032554895,0.6961751499459211,0.6941300689609661,0.7008611871844789,0.6964740936930972,0.6985103094478609,30307,30307,0.6974956280727225,
0.5795942366557839,0.697842082687168,20992,9315,9000,21307,0.6999199786609762,0.6958069361896676,0.6926452634704854,0.7030389019038505,0.6962636196288495,0.699404224589276,30307,30307,0.6978420826871679,
0.577518717007639,0.6995248622430461,21043,9264,8949,21358,0.7016204321152307,0.6974724054601267,0.6943280430263635,0.7047216814597288,0.697955189969983,0.7010783042557731,30307,30307,0.6995248622430461,
0.5847014232918797,0.6929917180849309,20886,9421,9188,21119,0.6944869322338232,0.6915193189259987,0.689147721648464,0.6968357145213977,0.6918070253887812,0.6941673377487797,30307,30307,0.692991718084931,
0.5769807284378733,0.6998383211799254,21074,9233,8961,21346,0.7016480772432162,0.6980607606527356,0.6953509090309169,0.7043257333289339,0.6984853004540784,0.7011792530302533,30307,30307,0.6998383211799254,
0.5865993208035895,0.6922658131784736,20838,9469,9184,21123,0.6940909999333822,0.6904746338912134,0.6875639291252846,0.6969676972316626,0.6908120472741136,0.6937059721834513,30307,30307,0.6922658131784737,
0.5770967680394609,0.6975121259115056,21027,9280,9055,21252,0.6989894288943554,0.6960565963579196,0.6938001121853037,0.7012241396377075,0.6963851032472801,0.698630812472263,30307,30307,0.6975121259115055,
0.581093293155247,0.6954004025472663,20959,9348,9115,21192,0.6969142781139855,0.693909626719057,0.6915564061107995,0.6992443989837331,0.6942250045544127,0.6965667986918007,30307,30307,0.6954004025472663,
0.5842886723232084,0.6941960603160986,20949,9358,9178,21129,0.6953563248912935,0.6930494965067078,0.6912264493351371,0.6971656712970601,0.693285236787239,0.695101490278646,30307,30307,0.6941960603160987,
0.5764724642798473,0.6978915762035174,21034,9273,9039,21268,0.6994313836331593,0.6963753642644315,0.6940310819282673,0.7017520704787673,0.6967207684663794,0.6990533789113857,30307,30307,0.6978915762035173,
0.5749969812708741,0.6985184940772758,21026,9281,8993,21314,0.7004230653919185,0.696649779375715,0.6937671165077375,0.7032698716468143,0.6970792029970494,0.699944172605169,30307,30307,0.698518494077276,
0.5719612258609583,0.7041442571023196,21190,9117,8816,21491,0.7061920949143504,0.702136696288552,0.6991784076286006,0.7091101065760386,0.702667749904664,0.7056061725355003,30307,30307,0.7041442571023198,
