loss,accuracy,tn,fp,fn,tp,precision_0,precision_1,recall_0,recall_1,f1_0,f1_1,count_0,count_1,auroc
0.008105962717669564,0.9693916104993993,685035,112,21518,4,0.9695451013582845,0.034482758620689655,0.9998365314304813,0.00018585633305454884,0.9844578572968312,0.0003697199371476107,685147,21522,0.500011193881768
0.0076598574026225,0.9695444401834522,685147,0,21522,0,0.9695444401834522,0.0,1.0,0.0,0.9845367491105146,0.0,685147,21522,0.5
0.007611612692684966,0.9695444401834522,685147,0,21522,0,0.9695444401834522,0.0,1.0,0.0,0.9845367491105146,0.0,685147,21522,0.5
0.007577930318770843,0.9695444401834522,685147,0,21522,0,0.9695444401834522,0.0,1.0,0.0,0.9845367491105146,0.0,685147,21522,0.5
0.007542231559675309,0.9695444401834522,685147,0,21522,0,0.9695444401834522,0.0,1.0,0.0,0.9845367491105146,0.0,685147,21522,0.5
0.007519898124859725,0.9695444401834522,685147,0,21522,0,0.9695444401834522,0.0,1.0,0.0,0.9845367491105146,0.0,685147,21522,0.5
0.007519012756277631,0.9695444401834522,685147,0,21522,0,0.9695444401834522,0.0,1.0,0.0,0.9845367491105146,0.0,685147,21522,0.5
0.007501112891936288,0.9695444401834522,685147,0,21522,0,0.9695444401834522,0.0,1.0,0.0,0.9845367491105146,0.0,685147,21522,0.5
0.00750749402462079,0.9695444401834522,685147,0,21522,0,0.9695444401834522,0.0,1.0,0.0,0.9845367491105146,0.0,685147,21522,0.5
0.0075120003984910175,0.9695444401834522,685147,0,21522,0,0.9695444401834522,0.0,1.0,0.0,0.9845367491105146,0.0,685147,21522,0.5
0.007497244673776617,0.9695444401834522,685147,0,21522,0,0.9695444401834522,0.0,1.0,0.0,0.9845367491105146,0.0,685147,21522,0.5
